pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
IT-RU,IT docs,28.9647,29.851,0.8862999999999985,30.0,0.4515157442186899,1.3356824725670113,0.3827437973629259,1.4216121972428866,it,ru,mismatch,1,0,L-L,0.1838541304777274,0.5173748811807234,1.0,0.7424242424242424,mono,L1 docs
IT-RU,RU docs,27.1639,28.1014,0.9375,70.0,0.4619511331232907,1.4390807123475478,0.37393613286547006,1.5377142883040555,it,ru,mismatch,1,0,L-L,0.1838541304777274,0.5173748811807234,1.0,0.7424242424242424,mono,L2 docs
IT-VI,IT + VI docs,29.0164,29.844,0.8276000000000003,30.0,0.35466163025460845,1.4213768314787194,0.28323989062398025,1.533655052607319,it,vi,match,1,1,L-L,0.322023077941647,0.5222329678670935,0.0,1.0,bi,L1+L2 docs
IT-VI,IT docs,28.9647,29.7722,0.807500000000001,30.0,0.4041913460058604,1.324233981907267,0.3408709870947324,1.4137104376481116,it,vi,match,1,1,L-L,0.322023077941647,0.5222329678670935,0.0,1.0,mono,L1 docs
IT-VI,VI docs,26.1947,27.4441,1.2493999999999978,70.0,0.6960277905558726,1.8400167584787335,0.5952320404407072,1.9373017479822539,it,vi,match,1,1,L-L,0.322023077941647,0.5222329678670935,0.0,1.0,mono,L2 docs
IT-ZH,IT + ZH docs,29.0512,29.7812,0.7299999999999969,30.0,0.23131262584597076,1.321163608513758,0.16149347956064333,1.4432390483821518,it,zh,mismatch,1,1,L-H,0.378521154779843,0.5817076915288627,0.6666666666666667,1.0,bi,L1+L2 docs
IT-ZH,IT docs,28.9647,29.7936,0.8289000000000009,30.0,0.37484609395725993,1.309589357903102,0.3017773197627692,1.4000487194099644,it,zh,mismatch,1,1,L-H,0.378521154779843,0.5817076915288627,0.6666666666666667,1.0,mono,L1 docs
IT-ZH,ZH docs,26.1669,26.8269,0.6600000000000001,70.0,0.2968417008607448,1.1908447279597012,0.24157722612542062,1.2870731750110211,it,zh,mismatch,1,1,L-H,0.378521154779843,0.5817076915288627,0.6666666666666667,1.0,mono,L2 docs
JA-AR,AR docs,24.5283,26.1544,1.6260999999999974,50.0,1.0402761601764339,2.4227408195136895,0.9272299113345038,2.5781550229969525,ja,ar,mismatch,1,1,H-H,0.4788062814294263,0.5903260526902472,1.0,1.0,mono,L2 docs
JA-AR,JA + AR docs,27.486,27.8081,0.32209999999999894,30.0,0.06055736095540248,1.1850698928225203,-0.002366927580576482,1.3622362650109354,ja,ar,mismatch,1,1,H-H,0.4788062814294263,0.5903260526902472,1.0,1.0,bi,L1+L2 docs
JA-AR,JA docs,27.2089,27.3588,0.1498999999999988,10.0,-0.08127278570003416,0.5387003946301936,-0.1312909517144595,0.6364331684669722,ja,ar,mismatch,1,1,H-H,0.4788062814294263,0.5903260526902472,1.0,1.0,mono,L1 docs
JA-HI,HI docs,26.7959,27.3211,0.5252000000000017,70.0,0.11029722948915577,1.0293066181666015,0.048459063812602565,1.1410015565367098,ja,hi,mismatch,1,1,H-L,0.381884900036313,0.5365433699886598,0.6666666666666667,1.0,mono,L2 docs
JA-HI,JA + HI docs,27.4556,28.1909,0.7352999999999987,50.0,0.14913710862549312,1.3650686845121944,0.06073688825809658,1.4770417255337767,ja,hi,mismatch,1,1,H-L,0.381884900036313,0.5365433699886598,0.6666666666666667,1.0,bi,L1+L2 docs
JA-HI,JA docs,27.2089,27.4546,0.24569999999999936,30.0,-0.12007438932811407,0.7606735235919011,-0.18225018975556723,0.8557247967928298,ja,hi,mismatch,1,1,H-L,0.381884900036313,0.5365433699886598,0.6666666666666667,1.0,mono,L1 docs
JA-ID,ID docs,28.4534,28.8815,0.4281000000000006,70.0,0.1637423386560462,0.8726409719283521,0.11921048994038728,0.9575490235745311,ja,id,mismatch,1,1,H-L,0.4046338544726856,0.4204374825912608,0.5,1.0,mono,L2 docs
JA-ID,JA + ID docs,28.4275,29.1939,0.7664000000000009,70.0,0.40371181616483903,1.3679605813093645,0.34303341245029656,1.4747775461393817,ja,id,mismatch,1,1,H-L,0.4046338544726856,0.4204374825912608,0.5,1.0,bi,L1+L2 docs
JA-ID,JA docs,27.2089,27.4277,0.21880000000000166,30.0,-0.02813235417918614,0.7118932643532422,-0.07855959091469832,0.8088793463584777,ja,id,mismatch,1,1,H-L,0.4046338544726856,0.4204374825912608,0.5,1.0,mono,L1 docs
JA-PT,JA + PT docs,28.629,29.4594,0.8303999999999974,70.0,0.25826599795905153,1.4658215435106912,0.1759004975297958,1.5980724147499399,ja,pt,mismatch,1,1,H-L,0.3880235008947944,0.5945883900105632,0.5,1.0,bi,L1+L2 docs
JA-PT,JA docs,27.2089,27.7463,0.5374000000000017,30.0,0.19476866197131387,1.0347468632826924,0.14029752025048356,1.1311093077666297,ja,pt,mismatch,1,1,H-L,0.3880235008947944,0.5945883900105632,0.5,1.0,mono,L1 docs
JA-PT,PT docs,28.7125,29.3429,0.6304000000000016,70.0,0.1860072525932761,1.1698567467254872,0.11495696497084823,1.2766916836097946,ja,pt,mismatch,1,1,H-L,0.3880235008947944,0.5945883900105632,0.5,1.0,mono,L2 docs
JA-RU,JA + RU docs,27.4201,28.7076,1.2874999999999979,50.0,0.4720285211297828,1.7599947130295401,0.3838364730487299,1.8884115998618536,ja,ru,mismatch,1,1,H-L,0.3939058974057656,0.5729597091269405,1.0,1.0,bi,L1+L2 docs
JA-RU,JA docs,27.2089,27.5805,0.3716000000000008,10.0,0.15560331837932484,0.8382308105004065,0.10399140921978071,0.9471199110972158,ja,ru,mismatch,1,1,H-L,0.3939058974057656,0.5729597091269405,1.0,1.0,mono,L1 docs
JA-RU,RU docs,27.1639,27.8138,0.6498999999999988,70.0,0.19986201730283942,1.1707935154249436,0.12855854383250123,1.2777831265726516,ja,ru,mismatch,1,1,H-L,0.3939058974057656,0.5729597091269405,1.0,1.0,mono,L2 docs
JA-VI,JA + VI docs,27.4907,28.1865,0.6957999999999984,30.0,0.2947520388410119,1.4602581446726113,0.22272445227057508,1.5919553667455209,ja,vi,mismatch,1,1,H-L,0.4528445690284778,0.4767312946227962,0.5,1.0,bi,L1+L2 docs
JA-VI,JA docs,27.2089,27.454,0.24510000000000076,10.0,-0.005172499902078086,0.7239654133360687,-0.059383612999635814,0.8320244071912908,ja,vi,mismatch,1,1,H-L,0.4528445690284778,0.4767312946227962,0.5,1.0,mono,L1 docs
