pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
AR-VI,AR + VI docs,embed,10.0,25.4418,35.0023,0.9086,23.9463,26.9373,23.6595,27.2241,21.1316,40.4032,bge-m3,mmarco-8841823-bilingual-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260202-224918-agg.csv
AR-VI,AR + VI docs,embed,30.0,26.7917,35.6323,0.925,25.2694,28.3141,24.9774,28.6061,22.269,42.3574,bge-m3,mmarco-8841823-bilingual-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260202-224929-agg.csv
AR-VI,AR + VI docs,embed,50.0,27.2319,35.7692,0.9285,25.7036,28.7601,25.4105,29.0532,22.6687,42.8965,bge-m3,mmarco-8841823-bilingual-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260202-224941-agg.csv
AR-VI,AR + VI docs,embed,70.0,27.2921,35.9549,0.9333,25.7559,28.8282,25.4612,29.1229,22.7245,42.8122,bge-m3,mmarco-8841823-bilingual-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260202-224952-agg.csv
AR-VI,AR + VI docs,embed,90.0,26.658,36.2734,0.9416,25.1082,28.2077,24.8109,28.505,22.5473,40.757,bge-m3,mmarco-8841823-bilingual-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260202-225004-agg.csv
AR-VI,AR + VI docs,embed,100.0,26.4111,36.4688,0.9467,24.853,27.9692,24.5541,28.2681,22.4826,39.9483,bge-m3,mmarco-8841823-bilingual-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260202-225017-agg.csv
AR-VI,AR docs,embed,0.0,24.5283,34.8336,0.9042,23.04,26.0165,22.7545,26.302,20.4433,38.7298,bge-m3,mmarco-8841823-arabic-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-201715-agg.csv
AR-VI,AR docs,embed,10.0,25.195,35.1039,0.9113,23.6952,26.6948,23.4075,26.9825,20.9668,39.8416,bge-m3,mmarco-8841823-arabic-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-201728-agg.csv
AR-VI,AR docs,embed,30.0,25.8812,35.3563,0.9178,24.3706,27.3918,24.0809,27.6816,21.4967,40.9198,bge-m3,mmarco-8841823-arabic-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-201740-agg.csv
AR-VI,AR docs,embed,50.0,25.4937,35.6121,0.9244,23.9722,27.0153,23.6804,27.3071,21.5068,39.4823,bge-m3,mmarco-8841823-arabic-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-201752-agg.csv
