qid,band,r_between_0_1,r,delta,delta_rel,p,d_axis,alpha,residual_norm,r2_local,cos_en,cos_zh,en_tokens,zh_tokens,cm_tokens,en_han,en_latin,zh_han,zh_latin,cm_han,cm_latin
557157,20-40,True,0.8996965476421281,0.2845647633075714,0.36832776866379513,0.6950926780700684,0.7725856900215149,0.10030352112465087,0.284564733505249,0.06903915443618558,0.7179346084594727,0.9565088748931885,11,8,11,0,36,10,0,4,27
1082603,20-40,True,0.5149429395903226,0.377432256937027,0.542138103356494,0.3584991991519928,0.6961920857429504,0.48505713300848696,0.377432256937027,0.44460140174298934,0.8645116090774536,0.8717542290687561,12,14,15,0,43,13,9,6,42
1084971,20-40,True,0.5129577208538236,0.17730437219142914,0.4547947504037981,0.19997954368591309,0.3898558020591736,0.4870422811938219,0.17730437219142914,0.5341990215881316,0.9642857313156128,0.9662550091743469,9,8,9,0,31,10,0,3,22
1040532,20-40,True,0.4571330831279964,0.25862863659858704,0.7822683531089675,0.1511344611644745,0.3306137025356293,0.5428668998975852,0.25862863659858704,0.3250481834330674,0.9551348686218262,0.9504492878913879,10,8,19,0,43,9,8,9,50
1099636,20-40,True,0.23755134873238765,0.3061780035495758,0.43702004860334154,0.16642943024635315,0.7006040215492249,0.7624486203995153,0.3061780035495758,0.7527088556325067,0.9392780661582947,0.8104562759399414,10,9,12,0,48,13,0,3,39
28442,20-40,True,0.38331810619042916,0.29941684007644653,0.7925236437461807,0.1448182612657547,0.377801775932312,0.616681920952143,0.29941684007644653,0.37713227080049416,0.944688618183136,0.9280341863632202,8,6,9,0,35,10,0,3,22
248086,20-40,True,0.5620468499574977,0.2953411042690277,0.5015460874651155,0.33096766471862793,0.588861346244812,0.4379532452138148,0.2953411042690277,0.43262068347211424,0.901617169380188,0.9231323003768921,11,8,13,0,40,14,0,6,27
1000678,20-40,True,0.30708175283088096,0.4570048153400421,0.7314402696463327,0.19186507165431976,0.6248012781143188,0.6929183030042448,0.4570048153400421,0.47297461340311686,0.8771672248840332,0.801856517791748,9,11,8,0,31,13,0,5,16
542431,20-40,True,0.4751492015128298,0.36547914147377014,0.5431061283771524,0.31974804401397705,0.6729423999786377,0.5248508161307783,0.36547914147377014,0.48291132994455166,0.8820931911468506,0.8708394765853882,11,8,11,0,28,11,0,4,20
845719,20-40,True,0.26706824098462245,0.42613643407821655,0.8224186278809944,0.1383814811706543,0.518150269985199,0.7329316912436933,0.42613643407821655,0.44265496647523417,0.8996292352676392,0.8370918035507202,13,15,11,0,43,17,0,3,36
566946,20-40,True,0.6771947770736039,0.25040555000305176,0.6017991340374489,0.2817772924900055,0.41609489917755127,0.3228051259629793,0.25040555000305176,0.22343679956124773,0.9289493560791016,0.9596279859542847,8,7,9,0,25,9,0,3,15
1085845,20-40,True,0.8630593334405039,0.35349470376968384,0.41523837223256665,0.734727144241333,0.8513054847717285,0.13694062951267733,0.35349470376968384,0.09809175478038556,0.6676087379455566,0.9307255744934082,9,9,11,0,30,11,0,5,18
488021,20-40,True,0.060370456840035384,0.18360577523708344,0.22608414407383015,0.04902760684490204,0.81211256980896,0.9396295932119081,0.18360579013824463,0.9452750755221118,0.9819426536560059,0.6919950842857361,8,7,8,0,34,9,0,3,21
80712,20-40,True,0.12605713468804136,0.21880453824996948,0.3389045137274431,0.08138538151979446,0.645622968673706,0.8739428794746577,0.2188045233488083,0.8692783736063002,0.9727506637573242,0.8168804049491882,9,11,12,0,38,15,0,3,32
245921,20-40,True,0.7327237006784378,0.26837247610092163,0.7158547311286422,0.27469661831855774,0.37489795684814453,0.26727631157093346,0.26837247610092163,0.12234705788654343,0.9262590408325195,0.958967924118042,10,7,12,0,35,13,0,5,33
1097198,20-40,True,0.7366932024860828,0.3549932837486267,0.47566240981233143,0.5498040914535522,0.7463135123252869,0.26330688251380097,0.3549932837486267,0.23455315691335699,0.7858476638793945,0.9176819324493408,13,8,11,0,31,9,0,5,11
1096610,20-40,True,0.5237503054767374,0.3035528361797333,0.603285786561568,0.2635332942008972,0.5031659007072449,0.4762498095977787,0.3035528361797333,0.3839308395258352,0.9192030429840088,0.9252159595489502,9,9,14,0,29,10,9,6,22
1096932,20-40,True,0.1453490035312776,0.1938413381576538,0.3524036917383716,0.07994991540908813,0.5500547885894775,0.8546509646444459,0.1938413381576538,0.8546853190286922,0.9780168533325195,0.8707135915756226,13,12,17,0,45,8,14,6,39
878817,20-40,True,0.5430833123430769,0.30305567383766174,0.4998758772886619,0.329250693321228,0.6062618494033813,0.45691672600588695,0.30305567383766174,0.455191256914399,0.8998756408691406,0.9157111048698425,11,9,16,0,40,12,0,8,34
